index	*ID	version	enabled	*Skip Generation	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Skeleton Hunter	96	0	1			1	1	20	15	2ax	Double Axe		8	20000	whit	whit		invmpiu				tinkerflag2		25	35	dmg-undead		300	400	ignore-undead-resist		1	1	res-mag		10	20	dmg-norm		20	30	heal-kill		10	20	dmg/lvl	8			ethereal		1	1	swing2		20	20														0
High General's Pick	97	0	1			1	1	28	21	mpi	Military Pick		8	20000	dred	dred		invmpiu				tinkerflag2		25	35	deadly		100	100	swing2		20	20	stam		100	200	move2		20	30	hit-skill	Axe Proc	15	10	life-on-striking		1	1																						0
Axe of Souls	98	0	1			1	1	36	27	wax	War Axe		9	25000	cblu	cblu						tinkerflag2		25	35	hit-skill	Battle Cry	5	5	skill	Howl	5	10	magicskill		1	3	swing2		20	30	dmg-mag		75	125	mana-kill		10	20	aura	Sanctuary	5	10																		0
Glowblast	99	0	1			1	1	6	8	lax	Large Axe		6	10000	lyel	lyel						tinkerflag2		25	35	kill-skill	Lightning Surge	33	1	ltng-min		1	1	ltng-max		50	500	gethit-skill	SNova	10	1	abs-ltng%		15	15	light		5	10																						0
Murderous Axe	100	0	1			1	1	14	14	bax	Broad Axe		7	15000	cred	cred		invbtxu				tinkerflag2		25	35	dmg%		170	210	str		25	25	dex		10	10	swing2		10	30	freeze		3	3	dmg-norm		15	30	deadly		30	30	crush		15	15	str/lvl	6												0
Lord of Carnage	101	0	1			1	1	22	19	btx	Battle Axe		8	20000	blac	blac		invbtxu				tinkerflag2		25	35	kill-skill	Fury Proc	20	15	dmg-min		30	50	dmg%		50	100	lifesteal		5	15	ignore-ac		1	1	str		20	40																						0
Raka's Folly	102	0	1			1	1	30	25	gax	Great Axe		9	25000	cgrn	cgrn		invgaxu				tinkerflag2		25	35	oskill	Poison Mastery	5	10	allskills		1	2	hit-skill	Poison Surge	5	10	dmg-pois	25	5120	10240	pierce-pois		5	10	move2		10	30	swing2		10	30																		0
The Annihilator	103	0	1			1	1	38	29	gix	Giant Axe		9	25000	blac	blac						tinkerflag2		25	35	dmg%		150	225	rep-dur	10			aura	Blessed Aim	2	5	deadly		25	25	att%		50	100	hit-skill	Amplify Damage	5	8	kill-skill	Concentrate Proc	25	10																		0
Axe of the Elements	104	0	1			1	1	29	36	9ha	Hatchet		8	20000	lpur	lpur		invhaxu				tinkerflag2		25	35	swing1		20	40	dmg-fire		300	500	dmg-fire/lvl	64			dmg-ltng		300	500	dmg-ltng/lvl	64			dmg-cold	600	300	500	dmg-cold/lvl	64			dmg-pois	25	6144	10240	dmg-pois/lvl	64			res-all		15	45	allskills		2	2		0
The Butcher's Cleaver	105	0	1			1	1	37	39	9ax	Cleaver		9	25000	blac			invaxeu				tinkerflag2		25	35	dmg%		180	230	dmg-min		20	30	str		20	30	ignore-ac		1	1	crush/lvl	4			dmg-max		30	50	swing3		25	25	lifesteal		10	20	att-skill	Fury Proc	100	1										0
Double Bite	106	0	1			1	1	45	43	92a	Twin Axe		10	30000	oran	oran						tinkerflag2		25	35	hit-skill	Fire Surge	5	25	hit-skill	Lightning Surge	5	25	pierce-fire		10	15	pierce-ltng		10	15	swing2		20	30	dmg-fire		300	500	dmg-ltng		1	800																		0
Sadistic Warlord	107	0	1			1	1	53	45	9mp	Crowbill		11	35000	blac	blac		invmpiu				tinkerflag2		25	35	dmg%		500	500	ease		100	100	knock		1	1	red-dmg		10	30	deadly		20	20	hp		50	150	dmg-norm		20	40	kill-skill	Spike Nova Proc	8	20														0
Hacker	108	0	1			1	1	56	48	9wa	Naga		11	35000	cred	cred						tinkerflag2		25	35	aura	Fanaticism	5	10	dmg%		150	200	swing2		30	30	oskill	Axe Swarm	10	20	gethit-skill	Blade Nova	25	25	life-on-striking		2	3	dmg-min		50	100																		0
Wolf Claw	109	0	1			1	1	31	35	9la	Military Axe		9	25000	bwht	bwht						tinkerflag2		25	35	dmg%		150	225	dmg/lvl	12			att%		100	100	swing2		40	60	lifesteal		3	6	allskills		1	2	dex		10	30	skill	Shock Wave	4	10	skill	Fury	4	10	skill	Shape Shifting	4	10						0
Lifebane	110	0	1			1	1	39	39	9ba	Bearded Axe		9	25000	cred	cred						tinkerflag2		25	35	hit-skill	Life Tap	5	25	weapon-mastery		11	11	dmg-norm		25	50	swing2		20	30	heal-kill		25	50	dmg%/lvl	16			aura-hidden	Life Bane Aura	1	1	mythicaldescnoflag	1136	1	1														0
Fleshchew	111	0	1			1	1	47	41	9bt	Tabar		10	30000	cred	cred		invbtxu				tinkerflag2		25	35	dmg%		200	300	hp		50	100	att		150	300	dmg/lvl	16			hit-skill	Amplify Damage	3	40	lifesteal		20	40	att/lvl	32			dmg-ac		-25	-50														0
Griswold's Revenge	112	0	1			1	1	50	42	9ga	Gothic Axe		11	35000	oran	oran		invgaxu				tinkerflag2		25	35	mythicaldescnoflag	1137	1	1	aura-hidden	Griswold Revenge Aura	1	1	att-skill	Freezing Claws Proc	50	35	dmg%		200	300	dmg-min		50	75	res-cold		50	75	nofreeze		1	1	kill-skill	Spike Nova Cold	25	40														0
Lifecleaver	113	0	1			1	1	53	45	9gi	Ancient Axe		11	35000	cred	cred		inv9giu				tinkerflag2		25	35	oskill	Battle Orders	5	10	att-skill	Taunt	100	1	att-skill	Spike Nova Proc	100	10	swing2		-30	-30	dmg%		200	300	heal-kill		75	75	hp%		25	25	red-dmg		20	30														0
Rohmshun	114	0	1			1	1	54	63	0ha	Barbarian Tomahawk		11	35000	dblu	dblu		invhaxu				tinkerflag2		25	35	hit-skill	Static Field	10	1	hit-skill	Lightning Surge	5	40	lightningskill		1	5	pierce-ltng		1	20	swing2		50	100	hit-skill	SCharged Strike Proc	1	60	dmg-max		1	500																		0
Alea Jacta Est	115	0	1			1	1	62	60	0ax	Precision Cleaver		12	40000	cred	cred		invaxeu				tinkerflag2		25	35	dmg%		230	280	lifesteal		10	30	allskills		1	1	att%		100	100	aura	Aura of Divinity	6	12	oskill	Valkyrie	1	30	oskill	Valkyrie Mastery	1	30	str		50	100	dex		50	100	oskill	Critical Strike	10	20	light		10	30		0
Thorgrim's Saviour	116	0	1			1	1	70	64	82a	Duo-Axe		13	45000	cblu	cblu						tinkerflag2		25	35	att-skill-hidden	Thorgrim Savior Buff	100	1	mythicaldescnoflag	1138	1	1	res-mag		10	20	res-pois-len		50	75	swing2		20	30	dmg%		200	300	hp%		40	50	balance2		50	50														0
Gold Digger	117	0	1			1	1	73	68	0mp	Razor Axe		13	45000	lyel	lyel		invmpiu				tinkerflag2		25	35	kill-skill-hidden	Gold On Kill	100	1	deadly		40	50	swing2		40	50	gold%		150	200	mag%		150	200	dmg-min		1	150	dmg-max		2	300	move2		50	50	mythicaldescnoflag	1139	1	1										0
Iceshard	118	0	1			1	1	75	73	0wa	Viking Axe		13	45000	cblu	cblu						tinkerflag2		25	35	hit-skill	Blizzard	5	60	pierce-cold		10	30	aura	Cold Pierce Aura	10	30	mana-on-striking		3	5	kill-skill	Time Stop	17	60	ease		100	100	coldskill		3	5	res-cold-max		5	5	reduce-ac		50	50										0
Focus of Unlife	119	0	1			1	1	56	61	0la	Brawn Axe		11	35000	blac	blac						tinkerflag2		25	35	aura-hidden	Self Attack Speed Slow Aura	1	1	att-skill	Devastating Shock Wave	100	1	dmg%		100	500	dmg-max		1	350	kill-skill-hidden	Focus of Unlife Buff	100	1	mythicaldescnoflag	1140	1	1	heal-kill		80	100	hp		100	200	swing2		-30	-30										0
Wicked Axe	120	0	1			1	1	64	63	0ba	Heavy Axe		12	40000	blac	blac						tinkerflag2		25	35	red-dmg%		20	40	hp%		30	50	dmg-min		200	250	aura	Concentration	10	20	dmg%		200	300	vit		100	200	lifesteal		20	40	regen		800	1000	mag%		150	200										0
Meat Cleaver	121	0	1			1	1	72	65	0bt	Split Axe		13	45000	cred	cred		invbtxu				tinkerflag2		25	35	dmg%		250	300	hp/lvl	32			oskill	Sword Mastery	20	30	dmg-ac		-100	-100	ease		50	50	att%		50	100	swing2		40	40	lifesteal		20	40	allskills		1	2	hit-skill	Concentrate Proc	5	60						0
Wings of the Fallen Phoenix	122	0	1			1	1	73	70	0ga	Guillotine Axe		13	45000	lgld			invgaxu				tinkerflag2		25	35	dmg%		150	200	regen		2000	2000	regen-mana		100	150	dmg-fire		1500	2000	abs-fire%		3	5	hit-skill	Scorch	5	60	oskill	Fire Mastery	1	1	fireskill		3	3	hp/lvl	32			pierce-fire		20	30	att-skill	Conflagrate	10	60		0
Barbaric Devastator	123	0	1			1	1	75	72	0gi	Slayer Axe		13	45000	dpur	dpur		inv9giu				tinkerflag2		25	35	weapon-mastery		13	13	skill	Zeal	10	20	oskill	Natural Resistance	1	1	swing2		30	30	reduce-ac		100	100	dmg%		300	400	strpercent		30	30	lifesteal		10	30										 				0
Frostarc	124	0	1			1	1	2	3	sbw	Short Bow		6	10000	cblu	cblu						tinkerflag2		25	35	dmg-cold	200	10	15	att		50	50	mana		10	20	skill	Cold Arrow	1	4	dmg-cold/lvl	32			mana/lvl	8			sock		1	2	knock		1	1	dmg-min		5	5	swing3		10	20						0
Firebrander	125	0	1			1	1	5	9	hbw	Hunter's Bow		6	10000	dred	dred						tinkerflag2		25	35	dmg-fire		20	40	att		100	100	dmg-fire/lvl	32			res-fire		20	20	res-fire/lvl	8			hit-skill	Fire Surge	5	1	dmg%		70	100																		0
Bakou's Sharpshooter	126	0	1			1	1	9	14	lbw	Long Bow		6	10000	dred	dred						tinkerflag2		25	35	swing2		30	30	att		100	200	deadly		100	100	dmg-min		20	30	dex		20	30	oskill	Multiple Shot	1	3	mana-on-striking		1	1																		0
Ancient Piercer	127	0	1			1	1	16	25	sbb	Short Battle Bow		7	15000	cred	cred						tinkerflag2		25	35	dmg-ac		-10	-10	hp		20	20	dmg-undead		200	200	swing2		30	30	pierce		50	50	skill	Inner Sight	10	10	regen-mana		40	40	dmg%		120	170	dmg-min		10	15	dmg-max	16	20							0
Plague Bearer Bow	128	0	1			1	1	12	20	cbw	Composite Bow		7	15000	lgrn	lgrn						tinkerflag2		25	35	gethit-skill	Poison Nova	17	5	hit-skill	Poison Surge	5	5	swing2		20	30	kill-skill	Poison Mastery	17	5	manasteal		5	10	dmg%		40	80	dmg-pois	256	500	500																		0
Quiveraiden	129	0	1			1	1	19	26	lbb	Long Battle Bow		7	15000	dgrn	dgrn						tinkerflag2		25	35	hit-skill	Arrow Hit Skill	5	10	allskills		1	1	dmg%		75	150	dmg/lvl	8			swing2		20	20	hit-skill	Inner Sight	3	15																						0
Sparkraven	130	0	1			1	1	23	27	swb	Short War Bow		8	20000	cgrn	cgrn						tinkerflag2		25	35	allskills		1	2	hit-skill	Lightning Surge	5	10	pierce		100	100	ignore-ac		1	1	att		100	300	pierce-ltng		5	15	oskill	Multiple Shot	5	10	manasteal		5	10														0
Bow of the Stars	131	0	1			1	1	33	28	lwb	Long War Bow		9	25000	lyel	lyel						tinkerflag2		25	35	hit-skill	Magic Arrow	5	10	ama		1	2	dmg%		100	200					dex/lvl	8			hp/lvl	8			mana/lvl	8			hit-skill	Evade	3	15														0
Rotstring	132	0	1			1	1	27	28	8sb	Edge Bow		8	20000	cgrn	cgrn						tinkerflag2		25	35	hit-skill	Poison Nova	5	10	kill-skill	Poison Explosion	17	10																																						0
Raven's Cord	133	0	1			1	1	30	31	8hb	Razor Bow		9	25000	lblu	lblu						tinkerflag2		25	35	swing2		60	80	hit-skill	Fire Enhanced Arrow	20	20	pierce-fire		10	20	mana-on-striking		1	1	dmg-min		20	30	dmg-max		31	50	ease		50	100																		0
Titan's Wake	134	0	1			1	1	34	33	8lb	CedarBow		9	25000	dgld	dgld						tinkerflag2		25	35	hit-skill	Wind Surge	5	40	ease		300	300	dmg%		300	400	oskill	Wind Mastery	5	10	hit-skill	Inner Sight	3	30	hit-skill	Sandstorm	5	30	oskill	Tornado Shot	20	30	move2		-20	-20	gethit-skill	Taunt	17	30	swing2		-20	-20	pierce		100	100		0
The Harp of Souls	135	0	1			1	1	37	36	8cb	Double Bow		9	25000	cred	cred						tinkerflag2		25	35	hit-skill	War Cry	3	30	extra-mag2		20	30	aura	Sanctuary	10	20	dmg-undead		100	300	dmg-demon		100	300	swing2		20	40	gethit-skill	Howl	5	30	heal-kill		30	50	red-dmg		10	30	oskill	Strafe	10	20						0
The Keening	136	0	1			1	1	41	39	8s8	Short Siege Bow		10	30000	cblu	cblu						tinkerflag2		25	35	pierce-cold		10	15	aura	Cold Damage Aura	5	10	swing2		30	40	res-cold		30	50	res-fire		30	50	dmg%		100	200	kill-skill	Freezing Arrow	25	30	skill	Sharpened Focus	5	15														0
Eaglehorn	137	0	1			1	1	44	41	8l8	Long Siege Bow		10	30000	lgry	lgry						tinkerflag2		25	35	dex		150	250	dexpercent		10	30	dmg%/lvl	16			ease		-100	-100	dmg-max		50	100	att%		100	100	swing2		100	100																		0
Zerae's Gift	138	0	1			1	1	48	43	8sw	Rune Bow		10	30000	dyel	dyel						tinkerflag2		25	35	kill-skill	Lightning Surge	25	40	skill	Ice Arrow	10	20	pierce-ltng		10	15	swing2		40	50	att		200	400	att%		100	200	aura	Lightning Damage Aura	2	8	ltng-min		1	1	ltng-max		500	1000										0
Heartseeker	139	0	1			1	1	54	46	8lw	Gothic Bow		11	35000	blac	blac						tinkerflag2		25	35	oskill	Legendary Arrow	10	20	oskill	Pierce	3	3	skill	Pierce	27	27	pierce		50	100	crush		50	50	dmg%/lvl	24			dmg/lvl	16																				0
Karaniis' Bow of Incandesence	140	0	1			1	1	52	59	1sb	Spiderwoven Bow		11	35000	cred	cred						tinkerflag2		25	35	hit-skill	Lightning Surge	5	50	kill-skill	Fire Surge	25	50	pierce-fire		10	20	pierce-ltng		10	20	hit-skill	Death Sentry	2	40	reduce-ac		50	100	oskill	Lightning Mastery	1	5	aura	Fire Damage Aura	5	10	swing2		30	50										0
Gnat Sting	141	0	1			1	1	55	61	1hb	Sharp Bow		11	35000	whit	whit						tinkerflag2		25	35	dmg%		270	310	hit-skill	Arrow Hit Skill	20	25	pierce		100	100	swing3		100	100	dmg-min		15	30																										0
Bloodraven's Arch	142	0	1			1	1	59	62	1lb	Shade Bow		11	35000	cred	cred						tinkerflag2		25	35	oskill	Summon Skeleton King	10	20	passive-summ-life		20	40	oskill	Skeleton Mastery	10	20	allskills		1	3	oskill	Raise Skeletal Mage	20	40	extra-summ		50	100	swing2		30	50	dmg%		300	400	att%		100	200	skill	Sharpened Focus	20	30						0
Moonbeam	143	0	1			1	1	62	65	1cb	Dark Bow		12	40000	whit	whit						tinkerflag2		25	35	hit-skill	Fist of the Heavens	1	60	oskill	Magic Mastery	1	10	swing2		40	60	hit-skill	Evade	3	60	move2		40	60	oskill	Slow Teleport	1	1	dodge		5	10	mana-on-striking		1	1														0
Undead's Blight	144	0	1			1	1	66	67	1s8	Rogue Bow		12	40000	whit	whit						tinkerflag2		25	35	dmg-undead		800	1000	att-undead		800	1000	aura	Sanctuary	20	30	hit-skill	Arrow of Confession	2	40	allskills		1	2	dmg%		200	250	dmg/lvl	24			ignore-undead-resist		1	1														0
Wild Airs of the Elements	145	0	1			1	1	69	70	1l8	Marksman Bow		12	40000	lblu	lblu						tinkerflag2		25	35	oskill-hidden	Wild Airs of the Elements	1	1	aura	Wild Airs of the Elements	25	50	pierce-ele-res		20	40	kill-skill	Fire Surge	10	60	kill-skill	Cold Surge	10	60	kill-skill	Lightning Surge	10	60	swing2		20	40	move2		80	80	mythicaldescnoflag	1218	1	1										0
The Guardian	146	0	1			1	1	73	73	1sw	Arcane Bow		13	45000	lyel	lyel						tinkerflag2		25	35	oskill	Multiple Shot Ballista	10	20	oskill	Harpoon Ballista	10	20	aura	Defiance	10	20	ac		500	1000	ac%		200	300	dmg%		200	300	sock		1	2	dmg-min		50	100	crush		20	40										0
Enigma	147	0	1			1	1	83	77	1lw	Ancient Bow		13	45000	lgry	lgry						tinkerflag2		25	35	oskill	Rift Shot	10	20	item-skill-cooldown		10	30	dmg-max		75	125	cast2		50	50	dmg%/lvl	32			att%		80	120	deadly		20	40	lifesteal		20	30	manasteal		20	30										0
Rapid Frenzy	148	0	1			1	1	5	9	lxb	Light Crossbow		6	10000	dyel	dyel						tinkerflag2		25	35	dmg-norm		30	30	dex		10	20	hp		15	30	swing2		40	40	dex/lvl	4			hp/lvl	12			str		10	20	oskill	Crossbow Passive	1	1														0
Firespitter	149	0	1			1	1	13	18	mxb	Crossbow		7	15000	lgld	lgld						tinkerflag2		25	35	hit-skill	Flameburst	10	5	dmg-fire		100	250	dmg-fire/lvl	32			abs-fire%		75	75	dmg%		60	100	oskill	Crossbow Passive	1	1																						0
Polar Boltcaster	150	0	1			1	1	21	27	hxb	Heavy Crossbow		8	20000	dgld	dgld		invhxbu				tinkerflag2		25	35	hit-skill	Cold Flash	1	45	dmg%		150	200	swing2		-20	-20	freeze		1	1	att		200	300	heal-kill		20	30	crush		20	30	oskill	Crossbow Passive	1	1														0
Unholy Dartgun	151	0	1			1	1	29	28	rxb	Repeating Crossbow		8	20000	lpur	lpur		invrxbu				tinkerflag2		25	35	hit-skill	Arrow of Confession	5	20	swing2		50	50	att		200	300	dmg-undead		400	500	dmg-demon		400	500	oskill	Crossbow Passive	1	1																						0
The Needler	152	0	1			1	1	30	32	8lx	Arbalest		9	25000	dyel	dyel						tinkerflag2		25	35	att%		100	100	swing3		50	50	dmg%		100	100	slow		10	20	hit-skill	Arrow Hit Skill	50	30	oskill	Crossbow Passive	1	1																						0
Cataclysm	153	0	1			1	1	38	36	8mx	Siege Crossbow		9	25000	dpur	dpur		invhxbu				tinkerflag2		25	35	dmg-fire		100	200	dmg-cold	100	140	160	dmg-ltng		1	300	pierce-fire		10	20	pierce-cold		10	20	pierce-ltng		10	20	swing2		20	30	hit-skill	Hailstorm	1	15	hit-skill	Maelstrom Cascade Proc	3	15	hit-skill	Inferno Fury	1	15	oskill	Crossbow Passive	1	1		0
Magnium	154	0	1			1	1	46	41	8hx	Balista		10	30000	lred	lred		invrxbu				tinkerflag2		25	35	dmg%		400	500	hp		100	200	ease		100	100	dmg-norm		50	75	kill-skill	Spike Nova Proc	5	30	oskill	Crossbow Passive	1	1																						0
Qotos Bow of Fortuitous Battle	155	0	1			1	1	54	49	8rx	Chu-Ko-Nu		11	35000	lgld	lgld						tinkerflag2		25	35	hit-skill	Quickness	1	60	hit-skill	Eagle Eye	1	60	dmg%		100	200	swing2		10	50	mag%		50	150	gold%		50	150	hit-skill	Stun Proc	1	40	oskill	Crossbow Passive	1	1	deadly		1	25	crush		1	25						0
Deadly Hunter	156	0	1			1	1	55	61	1lx	Choice Crossbow		11	35000	blac	blac						tinkerflag2		25	35	mythicaldescnoflag	1143	1	1	hit-skill-hidden	Deadly Hunter Debuff	100	1	oskill	Blade Nova	10	20	hit-skill	Shackles	1	30	dmg%		200	300	move2		60	60	swing2		60	60	oskill	Crossbow Passive	1	1														0
Scope of the Hawk	157	0	1			1	1	63	78	1mx	Marksman Crossbow		12	40000	lgry	lgry						tinkerflag2		25	35	reduce-ac		50	100	att%		100	300	dmg%/lvl	40			dmg/lvl	16			aura	Fanaticism	5	15	lifesteal		10	20	swing2		30	40	kill-skill	Spike Nova Proc	10	40	oskill	Crossbow Passive	1	1										0
Chaos Launcher	158	0	1			1	1	71	66	1hx	Odysseus Crossbow		13	45000	bwht	bwht		invhxbu				tinkerflag2		25	35	hit-skill	Freezing Arrow	2	60	hit-skill	Ice Arrow	2	60	hit-skill	Immolation Arrow	2	60	reduce-ac		100	100	pierce-fire		10	30	pierce-cold		10	30	pierce-ltng		10	30	oskill	Fire Mastery	1	1	oskill	Cold Mastery	1	1	oskill	Lightning Mastery	1	1	oskill	Crossbow Passive	1	1		0
Deadly Precision	159	0	1			1	1	78	71	1rx	Assassin Crossbow		13	45000	blac	blac		invrxbu				tinkerflag2		25	35	hit-skill-hidden	Bolt Cascade	1	40	mythicaldescnoflag	1144	1	1	oskill	Strafe	10	20	crush		25	50	dmg-max		50	150	dmg%/lvl	24			oskill	Crossbow Passive	1	1	weapon-mastery		2	2														0
Yegg's Firedagger	160	0	1			1	1	2	4	dgr	Dagger		6	10000	dred			yeggs_firedagger				tinkerflag2		25	35	att-skill	Fire Bolt	100	2	att-skill	Fire Ball	25	1	swing2		20	30	res-fire		45	45	regen		30	50																										0
Requier's Skill	161	0	1			1	1	10	11	dir	Dirk		7	15000	dgry	dgry						tinkerflag2		25	35	dmg%		90	180	allskills		1	1	block3		30	30	swing2		20	30	res-all		10	20	dmg/lvl	8																								0
The Golden Spike	162	0	1			1	1	19	19	kri	Kriss		7	15000	oran	oran						tinkerflag2		25	35	hit-skill	Storm Nexus	1	10	att-skill	Zap	50	10	extra-ltng		10	20	swing2		30	30	red-dmg		5	10	red-mag		5	10	att%		100	100																		0
Anguirel	163	0	1			1	1	28	25	bld	Blade		8	20000	dblu	dblu						tinkerflag2		25	35	swing2		15	25	res-all		20	20	att		150	150	mana		50	50	dmg-pois	256	500	1000	dmg-pois/lvl	40			hit-skill	Poison Surge	5	15																		0
Sirian's Infinite Knives	164	0	1			1	1	27	32	9dg	Poignard		8	20000	lgry	lgry						tinkerflag2		25	35	hit-skill	Twister	3	25	swing3		40	80	kill-skill	Crucify Proc	16	20	kill-skill	Spike Nova Proc	8	20	dmg-max		75	125	dmg%		75	125																						0
Trang'Oul's Claw	165	0	1			1	1	35	36	9di	Rondel		9	25000	dgry	dgry						tinkerflag2		25	35	res-pois-len		100	100	dmg%		125	180	light		-2	-2	att%		50	100	deadly		50	100	allskills		1	1	nec		2	3	dmg/lvl	10			pierce-pois		10	20										0
Wizardspike	166	0	1			1	1	44	38	9kr	Cinquedeas		10	30000	cblu	cblu						tinkerflag2		25	35	res-all		50	50	hit-skill	Teleport	2	1	hit-skill	Orb of Winter	1	20	hit-skill	Rain of Fire	1	20	hit-skill	Storm Nexus	1	20	pierce-fire		15	15	pierce-cold		15	15	pierce-ltng		15	15	extra-fire		10	25	extra-cold		10	25	extra-ltng		10	25		0
Throatslitter	167	0	1			1	1	49	41	9bl	Stilleto		10	30000	blac	blac						tinkerflag2		25	35	att-skill	Cobra Strike	50	20	crush		20	40	swing2		20	40	dmg-min		50	50	dmg%		75	125	heal-kill		25	50	dex		25	50	hp		75	150														0
The Horn of Balor	168	0	1			1	1	52	60	0dg	Carved Bone		11	35000	dpur	dpur						tinkerflag2		25	35	dmg/lvl	16			dmg-norm		40	60	dmg-ac		-150	-150	allskills		1	2	swing2		3	60	hit-skill	Crucify Proc	1	60	pierce-fire		20	40	pal		2	3														0
Rathma's Blade	169	0	1			1	1	60	61	0di	Mithral Knife		12	40000	oran	oran						tinkerflag2		25	35	oskill	Magic Mastery	1	5	kill-skill	Evade	25	60	skill	Bone Spirit	10	20	nec		1	3	cast2		30	50	gethit-skill	Howl	10	30	weapon-mastery		12	12	regen		-500	-500	heal-kill		50	100										0
Famine	170	0	1			1	1	69	65	0kr	Fang Knife		12	40000	blac	blac						tinkerflag2		25	35	life-on-striking		3	5	hit-skill	Decrepify	3	50	manasteal		20	40	red-dmg%		10	20	abs-mag		4	8	dmg%		300	500	aura	Fanaticism	5	10																		0
Mordenkainen's Dagger	171	0	1			1	1	76	69	0bl	Ancient Spike		13	45000	lgld	lgld						tinkerflag2		25	35	oskill-hidden	Summon Curse Immunity	1	1	mythicaldescnoflag	1046	1	1	passive-summ-limit		-2	-2	extra-summ		40	60	allskills		1	3	oskill	Enchant	3	3	skill	Enchant	17	27	pierce-res-all		10	20														0
Hail of Bolts	172	0	1			1	1	1	1	jav	Javelin		6	10000	lgry	lgry						tinkerflag2		25	35	noconsume		100	100	swing3		100	100	mana-on-striking		1	1	regen		25	50	dmg/lvl	8																												0
LED	173	0	1			1	1	8	4	pil	Pilum		6	10000	cred	cred						tinkerflag2		25	35	noconsume		100	100	kill-skill	Fire Surge	100	1	hit-skill	Fire Bolt	3	5	hit-skill	Fire Ball	1	2	dmg%		50	100	manasteal		5	10	swing2		10	20																		0
Ric's Faith	174	0	1			1	1	14	9	ssp	Short Spear		7	15000	lgry	lgry						tinkerflag2		25	35	noconsume		100	100	hit-skill	Lightning Surge	1	15	all-speeds		20	20	extra-ltng		5	10	dmg-max		40	60	lifesteal		3	5																						0
Free Lance	175	0	1			1	1	19	14	glv	Glaive		7	15000	whit	whit						tinkerflag2		25	35	noconsume		100	100	ease		-100	-100	allskills		1	1	skilltab	2	1	1	dmg-norm		15	30	swing2		20	40	move2		40	40																		0
Flying Impaler	176	0	1			1	1	25	19	tsp	Throwing Spear		8	20000	blac	blac						tinkerflag2		25	35	noconsume		100	100	dmg/lvl	8			ignore-ac		1	1	pierce		100	100	skill	Splintering Javelin	5	10	dmg-max		15	20	manasteal		2	4	ease		50	50	swing2		20	20	dmg%		50	100						0
Gilded Spikes	177	0	1			1	1	28	25	9ja	War Javelin		8	20000	lgld	lgld						tinkerflag2		25	35	noconsume		100	100	hit-skill	Lightning Enhanced Arrow	25	40	pierce-ltng		5	15	swing2		40	60	crush		20	30	dmg-norm		10	30	sock		1	2																		0
